state,statefips,countyname,countyfips,name,cbsa,censusregion,stateabr,familycomposition,familysize,geography,cbsalevel_text,cbsalevel_numeric
Louisiana,22,Vermilion Parish,22113,"Abbeville, LA",10020,s,LA,1A1C,2,County,Micropolitan Statistical Area,2
South Dakota,46,Brown County,46013,"Aberdeen, SD",10100,m,SD,2A0C,2,County,Micropolitan Statistical Area,2
South Dakota,46,Edmunds County,46045,"Aberdeen, SD",10100,m,SD,2A0C,2,County,Micropolitan Statistical Area,2
Washington,53,Grays Harbor County,53027,"Aberdeen, WA",10140,w,WA,2A1LF1C,3,County,Micropolitan Statistical Area,2
Texas,48,Callahan County,48059,"Abilene, TX",10180,s,TX,2A3C,5,County,Metropolitan Statistical Area,1
Texas,48,Jones County,48253,"Abilene, TX",10180,s,TX,2A2C,4,County,Metropolitan Statistical Area,1
Texas,48,Taylor County,48441,"Abilene, TX",10180,s,TX,2A3C,5,County,Metropolitan Statistical Area,1
Oklahoma,40,Pontotoc County,40123,"Ada, OK",10220,s,OK,2A0C,2,County,Micropolitan Statistical Area,2
Michigan,26,Lenawee County,26091,"Adrian, MI",10300,m,MI,2A3C,5,County,Micropolitan Statistical Area,2
Ohio,39,Portage County,39133,"Akron, OH",10420,m,OH,1A3C,4,County,Metropolitan Statistical Area,1
Ohio,39,Summit County,39153,"Akron, OH",10420,m,OH,1A3C,4,County,Metropolitan Statistical Area,1
New Mexico,35,Otero County,35035,"Alamogordo, NM",10460,w,NM,1A2C,3,County,Micropolitan Statistical Area,2
Georgia,13,Baker County,13007,"Albany, GA",10500,s,GA,2A3C,5,County,Metropolitan Statistical Area,1
Georgia,13,Dougherty County,13095,"Albany, GA",10500,s,GA,2A3C,5,County,Metropolitan Statistical Area,1
Georgia,13,Lee County,13177,"Albany, GA",10500,s,GA,2A3C,5,County,Metropolitan Statistical Area,1
Georgia,13,Terrell County,13273,"Albany, GA",10500,s,GA,2A3C,5,County,Metropolitan Statistical Area,1
Georgia,13,Worth County,13321,"Albany, GA",10500,s,GA,2A3C,5,County,Metropolitan Statistical Area,1
Oregon,41,Linn County,41043,"Albany-Lebanon, OR",10540,w,OR,2A1LF3C,5,County,Micropolitan Statistical Area,2
New York,36,Albany County,36001,"Albany-Schenectady-Troy, NY",10580,n,NY,2A1LF2C,4,County,Metropolitan Statistical Area,1
New York,36,Rensselaer County,36083,"Albany-Schenectady-Troy, NY",10580,n,NY,2A1LF2C,4,County,Metropolitan Statistical Area,1
New York,36,Saratoga County,36091,"Albany-Schenectady-Troy, NY",10580,n,NY,2A1LF2C,4,County,Metropolitan Statistical Area,1
New York,36,Schenectady County,36093,"Albany-Schenectady-Troy, NY",10580,n,NY,2A1LF2C,4,County,Metropolitan Statistical Area,1
New York,36,Schoharie County,36095,"Albany-Schenectady-Troy, NY",10580,n,NY,2A1LF2C,4,County,Metropolitan Statistical Area,1
North Carolina,37,Stanly County,37167,"Albemarle, NC",10620,s,NC,2A1LF0C,2,County,Micropolitan Statistical Area,2
Minnesota,27,Freeborn County,27047,"Albert Lea, MN",10660,m,MN,2A3C,5,County,Micropolitan Statistical Area,2
Alabama,1,Marshall County,1095,"Albertville, AL",10700,s,AL,2A3C,5,County,Micropolitan Statistical Area,2
New Mexico,35,Bernalillo County,35001,"Albuquerque, NM",10740,w,NM,2A0C,2,County,Metropolitan Statistical Area,1
New Mexico,35,Sandoval County,35043,"Albuquerque, NM",10740,w,NM,2A0C,2,County,Metropolitan Statistical Area,1
New Mexico,35,Torrance County,35057,"Albuquerque, NM",10740,w,NM,2A0C,2,County,Metropolitan Statistical Area,1
New Mexico,35,Valencia County,35061,"Albuquerque, NM",10740,w,NM,2A0C,2,County,Metropolitan Statistical Area,1
Alabama,1,Coosa County,1037,"Alexander City, AL",10760,s,AL,2A1C,3,County,Micropolitan Statistical Area,2
Alabama,1,Tallapoosa County,1123,"Alexander City, AL",10760,s,AL,2A1C,3,County,Micropolitan Statistical Area,2
Louisiana,22,Grant Parish,22043,"Alexandria, LA",10780,s,LA,1A1C,2,County,Metropolitan Statistical Area,1
Louisiana,22,Rapides Parish,22079,"Alexandria, LA",10780,s,LA,1A1C,2,County,Metropolitan Statistical Area,1
Minnesota,27,Douglas County,27041,"Alexandria, MN",10820,m,MN,2A3C,5,County,Micropolitan Statistical Area,2
Texas,48,Jim Wells County,48249,"Alice, TX",10860,s,TX,2A3C,5,County,Micropolitan Statistical Area,2
Michigan,26,Allegan County,26005,"Allegan, MI",10880,m,MI,2A3C,5,County,Micropolitan Statistical Area,2
New Jersey,34,Warren County,34041,"Allentown-Bethlehem-Easton, PA-NJ",10900,n,NJ,2A1LF3C,5,County,Metropolitan Statistical Area,1
Pennsylvania,42,Carbon County,42025,"Allentown-Bethlehem-Easton, PA-NJ",10900,n,PA,1A0C,1,County,Metropolitan Statistical Area,1
Pennsylvania,42,Lehigh County,42077,"Allentown-Bethlehem-Easton, PA-NJ",10900,n,PA,2A1C,3,County,Metropolitan Statistical Area,1
Pennsylvania,42,Northampton County,42095,"Allentown-Bethlehem-Easton, PA-NJ",10900,n,PA,1A0C,1,County,Metropolitan Statistical Area,1
Michigan,26,Gratiot County,26057,"Alma, MI",10940,m,MI,2A3C,5,County,Micropolitan Statistical Area,2
