statefips,countyfips,state,censusregion,stateabr,familycomposition,familysize,geography,cbsa_name,house_cost,childcare_cost,health_cost,food_cost,trans_cost,other_cost,income,income_pretax,tax,poverty,minwage_hrly,minwage,income_hrly,income_pretax_hrly,poverty_hrly,cbsa,state2,state3,state4,aggregation_id
1,1109,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,1
1,1023,Alabama,s,AL,2A1C,3,County,,8304,4850,5847,6699,9936,4573,40209,33969,6240,18480,14.5,30160,9.6700001,9.6700001,9.6700001,,,,,2
1,1081,Alabama,s,AL,2A1C,3,County,,8688,4850,5847,6699,9936,4573,40593,34293,6300,18480,14.5,30160,9.7600002,9.7600002,9.7600002,,,,,3
1,1105,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,4
1,1095,Alabama,s,AL,2A3C,5,County,,9396,14050,5930,10525,11399,5231,56531,47758,8774,27400,14.5,30160,13.59,13.59,13.59,,,,,5
1,1093,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,6
1,1025,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,7
1,1059,Alabama,s,AL,2A1C,3,County,,6876,4850,5847,6699,9936,4573,38781,32762,6019,18480,14.5,30160,9.3199997,9.3199997,9.3199997,,,,,8
1,1069,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,9
1,1013,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,10
1,1103,Alabama,s,AL,2A1C,3,County,,7140,4850,5847,6699,9936,4573,39045,32985,6060,18480,14.5,30160,9.3900003,9.3900003,9.3900003,,,,,11
1,1119,Alabama,s,AL,2A0C,2,County,,5448,0,4560,5381,8693,4201,28282,23893,4389,14937,14.5,30160,6.8000002,6.8000002,6.8000002,,,,,12
1,1027,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,13
1,1085,Alabama,s,AL,2A1C,3,County,,8520,4850,5847,6699,9936,4573,40425,34151,6274,18480,14.5,30160,9.7200003,9.7200003,9.7200003,,,,,14
1,1011,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,15
1,1089,Alabama,s,AL,2A1C,3,County,,8268,4850,5847,6699,9936,4573,40173,33938,6235,18480,14.5,30160,9.6599998,9.6599998,9.6599998,,,,,16
1,1099,Alabama,s,AL,1A1C,2,County,,6792,4850,6015,4328,8693,4201,34878,29465,5413,15825,7.25,15080,16.77,16.77,7.6100001,,,,,17
1,1113,Alabama,s,AL,2A1C,3,County,,8460,4850,5847,6699,9936,4573,40365,34101,6265,18480,14.5,30160,9.6999998,9.6999998,9.6999998,,,,,18
1,1097,Alabama,s,AL,2A1C,3,County,,9240,4850,5847,6699,9936,4573,41145,34759,6386,18480,14.5,30160,9.8900003,9.8900003,9.8900003,,,,,19
1,1121,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,20
1,1053,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,21
1,1021,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,22
1,1115,Alabama,s,AL,2A1C,3,County,,8916,4850,5847,6699,9936,4573,40821,34486,6335,18480,14.5,30160,9.8100004,9.8100004,9.8100004,,,,,23
1,1003,Alabama,s,AL,1A3C,4,County,,14628,14050,5711,8633,11108,5338,59468,50239,9230,23364,7.25,15080,28.59,28.59,11.23,,,,,24
1,1001,Alabama,s,AL,2A1C,3,County,,8520,4850,5847,6699,9936,4573,40425,34151,6274,18480,14.5,30160,9.7200003,9.7200003,9.7200003,,,,,25
1,1087,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,26
1,1129,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,27
1,1063,Alabama,s,AL,2A1C,3,County,,9780,4850,5847,6699,9936,4573,41685,35216,6470,18480,14.5,30160,10.02,10.02,10.02,,,,,28
1,1091,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,29
1,1107,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,30
1,1007,Alabama,s,AL,2A1C,3,County,,8916,4850,5847,6699,9936,4573,40821,34486,6335,18480,14.5,30160,9.8100004,9.8100004,9.8100004,,,,,31
1,1041,Alabama,s,AL,2A1LF2C,4,County,,6900,0,5711,8639,11108,5338,37696,31846,5850,23283,7.25,15080,18.120001,18.120001,11.19,,,,,32
1,1111,Alabama,s,AL,1A0C,1,County,,5772,0,2322,2935,4398,2321,17748,14994,2755,11945,7.25,15080,8.5299997,8.5299997,5.7399998,,,,,33
1,1125,Alabama,s,AL,2A1C,3,County,,9780,4850,5847,6699,9936,4573,41685,35216,6470,18480,14.5,30160,10.02,10.02,10.02,,,,,34
1,1043,Alabama,s,AL,2A1C,3,County,,6924,4850,5847,6699,9936,4573,38829,32803,6026,18480,14.5,30160,9.3299999,9.3299999,9.3299999,,,,,35
1,1061,Alabama,s,AL,1A2C,3,County,,6792,9450,5847,6503,9936,4573,43101,36412,6689,18498,7.25,15080,20.719999,20.719999,8.8900003,,,,,36
1,1045,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,37
1,1049,Alabama,s,AL,2A1C,3,County,,7068,4850,5847,6699,9936,4573,38973,32925,6049,18480,14.5,30160,9.3699999,9.3699999,9.3699999,,,,,38
1,1017,Alabama,s,AL,2A1C,3,County,,7392,4850,5847,6699,9936,4573,39297,33198,6099,18480,14.5,30160,9.4499998,9.4499998,9.4499998,,,,,39
1,1029,Alabama,s,AL,2A1LF3C,5,County,,8928,0,5930,10525,11399,5231,42013,35493,6520,27400,7.25,15080,20.200001,20.200001,13.17,,,,,40
1,1075,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,41
1,1035,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,42
1,1051,Alabama,s,AL,2A1LF0C,2,County,,7164,0,4560,5381,8693,4201,29998,25342,4656,14937,7.25,15080,14.42,14.42,7.1799998,,,,,43
1,1005,Alabama,s,AL,2A1C,3,County,,6996,4850,5847,6699,9936,4573,38901,32864,6037,18480,14.5,30160,9.3500004,9.3500004,9.3500004,,,,,44
1,1131,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,45
1,1065,Alabama,s,AL,2A1C,3,County,,9780,4850,5847,6699,9936,4573,41685,35216,6470,18480,14.5,30160,10.02,10.02,10.02,,,,,46
1,1033,Alabama,s,AL,2A1C,3,County,,7632,4850,5847,6699,9936,4573,39537,33401,6136,18480,14.5,30160,9.5,9.5,9.5,,,,,47
1,1031,Alabama,s,AL,2A1C,3,County,,7176,4850,5847,6699,9936,4573,39081,33016,6065,18480,14.5,30160,9.3900003,9.3900003,9.3900003,,,,,48
1,1057,Alabama,s,AL,2A2C,4,County,,6792,9450,5711,8639,11108,5338,47038,39738,7300,23283,14.5,30160,11.31,11.31,11.31,,,,,49
1,1079,Alabama,s,AL,2A1C,3,County,,7140,4850,5847,6699,9936,4573,39045,32985,6060,18480,14.5,30160,9.3900003,9.3900003,9.3900003,,,,,50
1,1009,Alabama,s,AL,2A1C,3,County,,8916,4850,5847,6699,9936,4573,40821,34486,6335,18480,14.5,30160,9.8100004,9.8100004,9.8100004,,,,,51
1,1015,Alabama,s,AL,2A1C,3,County,,8148,4850,5847,6699,9936,4573,40053,33837,6216,18480,14.5,30160,9.6300001,9.6300001,9.6300001,,,,,52
1,1019,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,53
1,1133,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,54
1,1039,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,55
1,1117,Alabama,s,AL,2A1C,3,County,,8916,4850,5847,6699,9936,4573,40821,34486,6335,18480,14.5,30160,9.8100004,9.8100004,9.8100004,,,,,56
1,1073,Alabama,s,AL,2A1C,3,County,,8916,4850,5847,6699,9936,4573,40821,34486,6335,18480,14.5,30160,9.8100004,9.8100004,9.8100004,,,,,57
1,1101,Alabama,s,AL,2A1LF1C,3,County,,8520,0,5847,6699,9936,4573,35575,30054,5521,18480,7.25,15080,17.1,17.1,8.8800001,,,,,58
1,1067,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,59
1,1077,Alabama,s,AL,2A1C,3,County,,7632,4850,5847,6699,9936,4573,39537,33401,6136,18480,14.5,30160,9.5,9.5,9.5,,,,,60
1,1037,Alabama,s,AL,2A1C,3,County,,6792,4850,5847,6699,9936,4573,38697,32691,6006,18480,14.5,30160,9.3000002,9.3000002,9.3000002,,,,,61
