familycomposition,income_hrly,income_pretax_hrly,minwage_hrly,minwage,poverty,poverty_hrly,census_id,familycomposition,geography
1A0C,9.2870207,7.8981171,7.5443139,15692.173,11761.37255,5.6545062,999999,1A0C,State
1A1C,19.485859,16.569635,7.5443139,15692.173,15853.33333,7.6217947,999999,1A1C,State
1A2C,23.457502,19.946772,7.5443139,15692.173,19945.29412,9.5890837,999999,1A2C,State
1A3C,29.398886,25.00078,7.5443139,15692.173,24037.2549,11.556373,999999,1A3C,State
2A0C,7.2960296,6.2054567,7.5443139,31384.346,15853.33333,3.8108974,999999,2A0C,State
2A1C,10.68998,9.0903683,7.5443139,31384.346,19945.29412,4.7945418,999999,2A1C,State
2A1LF0C,15.129753,12.868331,7.5443139,15692.173,15853.33333,7.6217947,999999,2A1LF0C,State
2A1LF1C,18.18725,15.468921,7.5443139,15692.173,19945.29412,9.5890837,999999,2A1LF1C,State
2A1LF2C,20.029551,17.035954,7.5443139,15692.173,24037.2549,11.556373,999999,2A1LF2C,State
2A1LF3C,23.022709,19.583347,7.5443139,15692.173,28129.21569,13.523662,999999,2A1LF3C,State
2A2C,12.701393,10.800702,7.5443139,31384.346,24037.2549,5.7781863,999999,2A2C,State
2A3C,15.288236,13.001216,7.5443139,31384.346,28129.21569,6.7618308,999999,2A3C,State
