state,occ_type,occ_salary,geography
Alabama,occ_110000,92610,state
Alabama,occ_130000,61500,state
Alabama,occ_150000,71100,state
Alabama,occ_170000,76710,state
Alabama,occ_190000,50730,state
Alabama,occ_210000,39040,state
Alabama,occ_230000,61680,state
Alabama,occ_250000,44060,state
Alabama,occ_270000,32630,state
Alabama,occ_290000,49260,state
Alabama,occ_310000,22380,state
Alabama,occ_330000,33020,state
Alabama,occ_350000,18170,state
Alabama,occ_370000,19900,state
Alabama,occ_390000,18590,state
Alabama,occ_410000,21890,state
Alabama,occ_430000,28570,state
Alabama,occ_450000,29840,state
Alabama,occ_470000,34340,state
Alabama,occ_490000,40020,state
Alabama,occ_510000,28580,state
Alabama,occ_530000,26090,state
Alaska,occ_110000,92070,state
Alaska,occ_130000,68960,state
Alaska,occ_150000,71250,state
Alaska,occ_170000,88960,state
Alaska,occ_190000,63450,state
Alaska,occ_210000,46430,state
Alaska,occ_230000,89890,state
Alaska,occ_250000,55750,state
Alaska,occ_270000,44300,state
Alaska,occ_290000,76480,state
Alaska,occ_310000,34380,state
Alaska,occ_330000,49930,state
Alaska,occ_350000,22150,state
Alaska,occ_370000,27890,state
Alaska,occ_390000,28100,state
Alaska,occ_410000,27300,state
Alaska,occ_430000,38380,state
Alaska,occ_450000,39760,state
Alaska,occ_470000,60200,state
Alaska,occ_490000,55620,state
Alaska,occ_510000,34630,state
Alaska,occ_530000,42620,state
Arizona,occ_110000,87100,state
Arizona,occ_130000,58210,state
Arizona,occ_150000,74190,state
Arizona,occ_170000,70470,state
Arizona,occ_190000,52990,state
Arizona,occ_210000,38120,state
Arizona,occ_230000,69920,state
Arizona,occ_250000,38470,state
Arizona,occ_270000,38800,state
Arizona,occ_290000,66000,state
Arizona,occ_310000,28320,state
Arizona,occ_330000,39610,state
Arizona,occ_350000,18970,state
Arizona,occ_370000,21120,state
Arizona,occ_390000,20990,state
Arizona,occ_410000,25650,state
Arizona,occ_430000,31720,state
Arizona,occ_450000,18270,state
Arizona,occ_470000,37200,state
Arizona,occ_490000,41030,state
Arizona,occ_510000,30550,state
Arizona,occ_530000,29320,state
Arkansas,occ_110000,72400,state
Arkansas,occ_130000,54650,state
Arkansas,occ_150000,61840,state
Arkansas,occ_170000,60810,state
