cbsa,occ_type,occ_salary,cbsa_name,geography
10180,occ_110000,77470,"Abilene, TX",metro
10180,occ_130000,48760,"Abilene, TX",metro
10180,occ_150000,44860,"Abilene, TX",metro
10180,occ_170000,58260,"Abilene, TX",metro
10180,occ_190000,52380,"Abilene, TX",metro
10180,occ_210000,37290,"Abilene, TX",metro
10180,occ_230000,43470,"Abilene, TX",metro
10180,occ_250000,42530,"Abilene, TX",metro
10180,occ_270000,32380,"Abilene, TX",metro
10180,occ_290000,47760,"Abilene, TX",metro
10180,occ_310000,19280,"Abilene, TX",metro
10180,occ_330000,34840,"Abilene, TX",metro
10180,occ_350000,17900,"Abilene, TX",metro
10180,occ_370000,19140,"Abilene, TX",metro
10180,occ_390000,18350,"Abilene, TX",metro
10180,occ_410000,23950,"Abilene, TX",metro
10180,occ_430000,26370,"Abilene, TX",metro
10180,occ_450000,24920,"Abilene, TX",metro
10180,occ_470000,34530,"Abilene, TX",metro
10180,occ_490000,33730,"Abilene, TX",metro
10180,occ_510000,28420,"Abilene, TX",metro
10180,occ_530000,24150,"Abilene, TX",metro
10420,occ_110000,89430,"Akron, OH",metro
10420,occ_130000,56160,"Akron, OH",metro
10420,occ_150000,68820,"Akron, OH",metro
10420,occ_170000,66520,"Akron, OH",metro
10420,occ_190000,55870,"Akron, OH",metro
10420,occ_210000,43070,"Akron, OH",metro
10420,occ_230000,50190,"Akron, OH",metro
10420,occ_250000,54210,"Akron, OH",metro
10420,occ_270000,41520,"Akron, OH",metro
10420,occ_290000,58880,"Akron, OH",metro
10420,occ_310000,23400,"Akron, OH",metro
10420,occ_330000,40760,"Akron, OH",metro
10420,occ_350000,18720,"Akron, OH",metro
10420,occ_370000,22450,"Akron, OH",metro
10420,occ_390000,19300,"Akron, OH",metro
10420,occ_410000,24300,"Akron, OH",metro
10420,occ_430000,30880,"Akron, OH",metro
10420,occ_450000,26590,"Akron, OH",metro
10420,occ_470000,43470,"Akron, OH",metro
10420,occ_490000,37550,"Akron, OH",metro
10420,occ_510000,32160,"Akron, OH",metro
10420,occ_530000,27240,"Akron, OH",metro
10500,occ_110000,76930,"Albany, GA",metro
10500,occ_130000,58430,"Albany, GA",metro
10500,occ_150000,61660,"Albany, GA",metro
10500,occ_170000,65380,"Albany, GA",metro
10500,occ_190000,54150,"Albany, GA",metro
10500,occ_210000,35000,"Albany, GA",metro
10500,occ_230000,80140,"Albany, GA",metro
10500,occ_250000,43140,"Albany, GA",metro
10500,occ_270000,28420,"Albany, GA",metro
10500,occ_290000,57420,"Albany, GA",metro
10500,occ_310000,19330,"Albany, GA",metro
10500,occ_330000,28470,"Albany, GA",metro
10500,occ_350000,17950,"Albany, GA",metro
10500,occ_370000,18820,"Albany, GA",metro
10500,occ_390000,18800,"Albany, GA",metro
10500,occ_410000,20900,"Albany, GA",metro
10500,occ_430000,26760,"Albany, GA",metro
10500,occ_450000,18900,"Albany, GA",metro
10500,occ_470000,30300,"Albany, GA",metro
10500,occ_490000,39100,"Albany, GA",metro
10500,occ_510000,29840,"Albany, GA",metro
10500,occ_530000,24440,"Albany, GA",metro
10580,occ_110000,94320,"Albany-Schenectady-Troy, NY",metro
10580,occ_130000,61960,"Albany-Schenectady-Troy, NY",metro
10580,occ_150000,71050,"Albany-Schenectady-Troy, NY",metro
10580,occ_170000,74610,"Albany-Schenectady-Troy, NY",metro
10580,occ_190000,57360,"Albany-Schenectady-Troy, NY",metro
10580,occ_210000,44650,"Albany-Schenectady-Troy, NY",metro
10580,occ_230000,84120,"Albany-Schenectady-Troy, NY",metro
10580,occ_250000,46710,"Albany-Schenectady-Troy, NY",metro
10580,occ_270000,45790,"Albany-Schenectady-Troy, NY",metro
10580,occ_290000,57470,"Albany-Schenectady-Troy, NY",metro
10580,occ_310000,26870,"Albany-Schenectady-Troy, NY",metro
10580,occ_330000,46330,"Albany-Schenectady-Troy, NY",metro
10580,occ_350000,19290,"Albany-Schenectady-Troy, NY",metro
10580,occ_370000,23900,"Albany-Schenectady-Troy, NY",metro
10580,occ_390000,23100,"Albany-Schenectady-Troy, NY",metro
10580,occ_410000,24750,"Albany-Schenectady-Troy, NY",metro
10580,occ_430000,34650,"Albany-Schenectady-Troy, NY",metro
10580,occ_450000,31290,"Albany-Schenectady-Troy, NY",metro
10580,occ_470000,45840,"Albany-Schenectady-Troy, NY",metro
10580,occ_490000,43720,"Albany-Schenectady-Troy, NY",metro
10580,occ_510000,37490,"Albany-Schenectady-Troy, NY",metro
10580,occ_530000,32940,"Albany-Schenectady-Troy, NY",metro
10740,occ_110000,83160,"Albuquerque, NM",metro
10740,occ_130000,57800,"Albuquerque, NM",metro
10740,occ_150000,69230,"Albuquerque, NM",metro
10740,occ_170000,76230,"Albuquerque, NM",metro
10740,occ_190000,60260,"Albuquerque, NM",metro
10740,occ_210000,36900,"Albuquerque, NM",metro
10740,occ_230000,60640,"Albuquerque, NM",metro
10740,occ_250000,41110,"Albuquerque, NM",metro
10740,occ_270000,41000,"Albuquerque, NM",metro
10740,occ_290000,60100,"Albuquerque, NM",metro
10740,occ_310000,27770,"Albuquerque, NM",metro
10740,occ_330000,31410,"Albuquerque, NM",metro
10740,occ_350000,18890,"Albuquerque, NM",metro
10740,occ_370000,20750,"Albuquerque, NM",metro
10740,occ_390000,19140,"Albuquerque, NM",metro
10740,occ_410000,24070,"Albuquerque, NM",metro
10740,occ_430000,30120,"Albuquerque, NM",metro
10740,occ_450000,22160,"Albuquerque, NM",metro
10740,occ_470000,35450,"Albuquerque, NM",metro
10740,occ_490000,38510,"Albuquerque, NM",metro
10740,occ_510000,29430,"Albuquerque, NM",metro
10740,occ_530000,28550,"Albuquerque, NM",metro
10780,occ_110000,71100,"Alexandria, LA",metro
10780,occ_130000,51160,"Alexandria, LA",metro
10780,occ_150000,60640,"Alexandria, LA",metro
10780,occ_170000,53730,"Alexandria, LA",metro
10780,occ_190000,57480,"Alexandria, LA",metro
10780,occ_210000,37900,"Alexandria, LA",metro
10780,occ_230000,70530,"Alexandria, LA",metro
10780,occ_250000,40260,"Alexandria, LA",metro
10780,occ_270000,29230,"Alexandria, LA",metro
10780,occ_290000,51170,"Alexandria, LA",metro
10780,occ_310000,21060,"Alexandria, LA",metro
10780,occ_330000,37900,"Alexandria, LA",metro
10780,occ_350000,18030,"Alexandria, LA",metro
10780,occ_370000,19540,"Alexandria, LA",metro
10780,occ_390000,18720,"Alexandria, LA",metro
10780,occ_410000,20860,"Alexandria, LA",metro
10780,occ_430000,26100,"Alexandria, LA",metro
10780,occ_450000,29090,"Alexandria, LA",metro
10780,occ_470000,33860,"Alexandria, LA",metro
10780,occ_490000,35510,"Alexandria, LA",metro
10780,occ_510000,29890,"Alexandria, LA",metro
10780,occ_530000,24830,"Alexandria, LA",metro
10900,occ_110000,94500,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_130000,59700,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_150000,70520,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_170000,72240,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_190000,60310,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_210000,41820,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_230000,68250,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_250000,53990,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_270000,45550,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_290000,60010,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_310000,27470,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_330000,33910,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_350000,19710,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_370000,24080,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_390000,21420,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_410000,24730,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_430000,31180,"Allentown-Bethlehem-Easton, PA-NJ",metro
10900,occ_450000,25920,"Allentown-Bethlehem-Easton, PA-NJ",metro
