id,name,geography,census_id
1,Autauga County,county,1001
2,Baldwin County,county,1003
3,Barbour County,county,1005
4,Bibb County,county,1007
5,Blount County,county,1009
6,Bullock County,county,1011
7,Butler County,county,1013
8,Calhoun County,county,1015
9,Chambers County,county,1017
10,Cherokee County,county,1019
11,Chilton County,county,1021
12,Choctaw County,county,1023
13,Clarke County,county,1025
14,Clay County,county,1027
15,Cleburne County,county,1029
16,Coffee County,county,1031
17,Colbert County,county,1033
18,Conecuh County,county,1035
19,Coosa County,county,1037
20,Covington County,county,1039
21,Crenshaw County,county,1041
22,Cullman County,county,1043
23,Dale County,county,1045
24,Dallas County,county,1047
25,DeKalb County,county,1049
26,Elmore County,county,1051
27,Escambia County,county,1053
28,Etowah County,county,1055
29,Fayette County,county,1057
30,Franklin County,county,1059
31,Geneva County,county,1061
32,Greene County,county,1063
33,Hale County,county,1065
34,Henry County,county,1067
35,Houston County,county,1069
36,Jackson County,county,1071
37,Jefferson County,county,1073
38,Lamar County,county,1075
39,Lauderdale County,county,1077
40,Lawrence County,county,1079
41,Lee County,county,1081
42,Limestone County,county,1083
43,Lowndes County,county,1085
44,Macon County,county,1087
45,Madison County,county,1089
46,Marengo County,county,1091
47,Marion County,county,1093
48,Marshall County,county,1095
49,Mobile County,county,1097
50,Monroe County,county,1099
51,Montgomery County,county,1101
52,Morgan County,county,1103
53,Perry County,county,1105
54,Pickens County,county,1107
55,Pike County,county,1109
56,Randolph County,county,1111
57,Russell County,county,1113
58,St. Clair County,county,1115
59,Shelby County,county,1117
60,Sumter County,county,1119
61,Talladega County,county,1121
62,Tallapoosa County,county,1123
63,Tuscaloosa County,county,1125
64,Walker County,county,1127
65,Washington County,county,1129
66,Wilcox County,county,1131
67,Winston County,county,1133
68,Aleutians East Borough,county,2013
69,Aleutians West Census Area,county,2016
70,Anchorage Municipality,county,2020
71,Bethel Census Area,county,2050
72,Bristol Bay Borough,county,2060
73,Denali Borough,county,2068
74,Dillingham Census Area,county,2070
75,Fairbanks North Star Borough,county,2090
76,Haines Borough,county,2100
77,Hoonah-Angoon Census Area,county,2105
78,Juneau City and Borough,county,2110
79,Kenai Peninsula Borough,county,2122
80,Ketchikan Gateway Borough,county,2130
81,Kodiak Island Borough,county,2150
82,Lake and Peninsula Borough,county,2164
83,Matanuska-Susitna Borough,county,2170
84,Nome Census Area,county,2180
85,North Slope Borough,county,2185
86,Northwest Arctic Borough,county,2188
87,Petersburg Census Area,county,2195
88,Prince of Wales-Hyder Census Area,county,2198
89,Sitka City and Borough,county,2220
90,Skagway Municipality,county,2230
91,Southeast Fairbanks Census Area,county,2240
92,Valdez-Cordova Census Area,county,2261
93,Wade Hampton Census Area,county,2270
94,Wrangell City and Borough,county,2275
95,Yakutat City and Borough,county,2282
96,Yukon-Koyukuk Census Area,county,2290
97,Apache County,county,4001
98,Cochise County,county,4003
99,Coconino County,county,4005
100,Gila County,county,4007
101,Graham County,county,4009
102,Greenlee County,county,4011
103,La Paz County,county,4012
104,Maricopa County,county,4013
105,Mohave County,county,4015
106,Navajo County,county,4017
107,Pima County,county,4019
108,Pinal County,county,4021
109,Santa Cruz County,county,4023
110,Yavapai County,county,4025
111,Yuma County,county,4027
112,Arkansas County,county,5001
113,Ashley County,county,5003
114,Baxter County,county,5005
115,Benton County,county,5007
116,Boone County,county,5009
117,Bradley County,county,5011
118,Calhoun County,county,5013
119,Carroll County,county,5015
120,Chicot County,county,5017
121,Clark County,county,5019
122,Clay County,county,5021
123,Cleburne County,county,5023
124,Cleveland County,county,5025
125,Columbia County,county,5027
126,Conway County,county,5029
127,Craighead County,county,5031
128,Crawford County,county,5033
129,Crittenden County,county,5035
130,Cross County,county,5037
131,Dallas County,county,5039
132,Desha County,county,5041
133,Drew County,county,5043
134,Faulkner County,county,5045
135,Franklin County,county,5047
136,Fulton County,county,5049
137,Garland County,county,5051
138,Grant County,county,5053
139,Greene County,county,5055
140,Hempstead County,county,5057
141,Hot Spring County,county,5059
142,Howard County,county,5061
143,Independence County,county,5063
144,Izard County,county,5065
145,Jackson County,county,5067
146,Jefferson County,county,5069
147,Johnson County,county,5071
148,Lafayette County,county,5073
149,Lawrence County,county,5075
150,Lee County,county,5077
151,Lincoln County,county,5079
152,Little River County,county,5081
153,Logan County,county,5083
154,Lonoke County,county,5085
155,Madison County,county,5087
156,Marion County,county,5089
157,Miller County,county,5091
158,Mississippi County,county,5093
159,Monroe County,county,5095
160,Montgomery County,county,5097
161,Nevada County,county,5099
162,Newton County,county,5101
163,Ouachita County,county,5103
164,Perry County,county,5105
165,Phillips County,county,5107
166,Pike County,county,5109
167,Poinsett County,county,5111
168,Polk County,county,5113
169,Pope County,county,5115
170,Prairie County,county,5117
171,Pulaski County,county,5119
172,Randolph County,county,5121
173,St. Francis County,county,5123
174,Saline County,county,5125
175,Scott County,county,5127
176,Searcy County,county,5129
177,Sebastian County,county,5131
178,Sevier County,county,5133
179,Sharp County,county,5135
180,Stone County,county,5137
181,Union County,county,5139
182,Van Buren County,county,5141
183,Washington County,county,5143
184,White County,county,5145
185,Woodruff County,county,5147
186,Yell County,county,5149
187,Alameda County,county,6001
188,Alpine County,county,6003
189,Amador County,county,6005
190,Butte County,county,6007
191,Calaveras County,county,6009
192,Colusa County,county,6011
193,Contra Costa County,county,6013
194,Del Norte County,county,6015
195,El Dorado County,county,6017
196,Fresno County,county,6019
197,Glenn County,county,6021
198,Humboldt County,county,6023
199,Imperial County,county,6025
200,Inyo County,county,6027
201,Kern County,county,6029
202,Kings County,county,6031
203,Lake County,county,6033
204,Lassen County,county,6035
205,Los Angeles County,county,6037
206,Madera County,county,6039
207,Marin County,county,6041
208,Mariposa County,county,6043
209,Mendocino County,county,6045
210,Merced County,county,6047
211,Modoc County,county,6049
212,Mono County,county,6051
213,Monterey County,county,6053
214,Napa County,county,6055
215,Nevada County,county,6057
216,Orange County,county,6059
217,Placer County,county,6061
218,Plumas County,county,6063
219,Riverside County,county,6065
220,Sacramento County,county,6067
221,San Benito County,county,6069
222,San Bernardino County,county,6071
223,San Diego County,county,6073
224,San Francisco County,county,6075
225,San Joaquin County,county,6077
226,San Luis Obispo County,county,6079
227,San Mateo County,county,6081
228,Santa Barbara County,county,6083
229,Santa Clara County,county,6085
230,Santa Cruz County,county,6087
231,Shasta County,county,6089
232,Sierra County,county,6091
233,Siskiyou County,county,6093
234,Solano County,county,6095
235,Sonoma County,county,6097
236,Stanislaus County,county,6099
237,Sutter County,county,6101
238,Tehama County,county,6103
239,Trinity County,county,6105
240,Tulare County,county,6107
241,Tuolumne County,county,6109
242,Ventura County,county,6111
243,Yolo County,county,6113
244,Yuba County,county,6115
245,Adams County,county,8001
246,Alamosa County,county,8003
247,Arapahoe County,county,8005
248,Archuleta County,county,8007
249,Baca County,county,8009
250,Bent County,county,8011
251,Boulder County,county,8013
252,Broomfield County,county,8014
253,Chaffee County,county,8015
254,Cheyenne County,county,8017
255,Clear Creek County,county,8019
256,Conejos County,county,8021
257,Costilla County,county,8023
258,Crowley County,county,8025
259,Custer County,county,8027
260,Delta County,county,8029
261,Denver County,county,8031
262,Dolores County,county,8033
263,Douglas County,county,8035
264,Eagle County,county,8037
265,Elbert County,county,8039
266,El Paso County,county,8041
267,Fremont County,county,8043
268,Garfield County,county,8045
269,Gilpin County,county,8047
270,Grand County,county,8049
271,Gunnison County,county,8051
272,Hinsdale County,county,8053
273,Huerfano County,county,8055
274,Jackson County,county,8057
275,Jefferson County,county,8059
276,Kiowa County,county,8061
277,Kit Carson County,county,8063
278,Lake County,county,8065
279,La Plata County,county,8067
280,Larimer County,county,8069
281,Las Animas County,county,8071
282,Lincoln County,county,8073
283,Logan County,county,8075
284,Mesa County,county,8077
285,Mineral County,county,8079
286,Moffat County,county,8081
287,Montezuma County,county,8083
288,Montrose County,county,8085
289,Morgan County,county,8087
290,Otero County,county,8089
291,Ouray County,county,8091
292,Park County,county,8093
293,Phillips County,county,8095
294,Pitkin County,county,8097
295,Prowers County,county,8099
296,Pueblo County,county,8101
297,Rio Blanco County,county,8103
298,Rio Grande County,county,8105
299,Routt County,county,8107
300,Saguache County,county,8109
301,San Juan County,county,8111
302,San Miguel County,county,8113
303,Sedgwick County,county,8115
304,Summit County,county,8117
305,Teller County,county,8119
306,Washington County,county,8121
307,Weld County,county,8123
308,Yuma County,county,8125
309,Fairfield County,county,9001
310,Hartford County,county,9003
311,Litchfield County,county,9005
312,Middlesex County,county,9007
313,New Haven County,county,9009
314,New London County,county,9011
315,Tolland County,county,9013
316,Windham County,county,9015
317,Kent County,county,10001
318,New Castle County,county,10003
319,Sussex County,county,10005
320,District of Columbia,county,11001
321,Alachua County,county,12001
322,Baker County,county,12003
323,Bay County,county,12005
324,Bradford County,county,12007
325,Brevard County,county,12009
326,Broward County,county,12011
327,Calhoun County,county,12013
328,Charlotte County,county,12015
329,Citrus County,county,12017
330,Clay County,county,12019
331,Collier County,county,12021
332,Columbia County,county,12023
333,DeSoto County,county,12027
334,Dixie County,county,12029
335,Duval County,county,12031
336,Escambia County,county,12033
337,Flagler County,county,12035
338,Franklin County,county,12037
339,Gadsden County,county,12039
340,Gilchrist County,county,12041
341,Glades County,county,12043
342,Gulf County,county,12045
343,Hamilton County,county,12047
344,Hardee County,county,12049
345,Hendry County,county,12051
346,Hernando County,county,12053
347,Highlands County,county,12055
348,Hillsborough County,county,12057
349,Holmes County,county,12059
350,Indian River County,county,12061
351,Jackson County,county,12063
352,Jefferson County,county,12065
353,Lafayette County,county,12067
354,Lake County,county,12069
355,Lee County,county,12071
356,Leon County,county,12073
357,Levy County,county,12075
358,Liberty County,county,12077
359,Madison County,county,12079
360,Manatee County,county,12081
361,Marion County,county,12083
362,Martin County,county,12085
363,Miami-Dade County,county,12086
364,Monroe County,county,12087
365,Nassau County,county,12089
366,Okaloosa County,county,12091
367,Okeechobee County,county,12093
368,Orange County,county,12095
369,Osceola County,county,12097
370,Palm Beach County,county,12099
371,Pasco County,county,12101
372,Pinellas County,county,12103
373,Polk County,county,12105
374,Putnam County,county,12107
375,St. Johns County,county,12109
376,St. Lucie County,county,12111
377,Santa Rosa County,county,12113
378,Sarasota County,county,12115
379,Seminole County,county,12117
380,Sumter County,county,12119
381,Suwannee County,county,12121
382,Taylor County,county,12123
383,Union County,county,12125
384,Volusia County,county,12127
385,Wakulla County,county,12129
386,Walton County,county,12131
387,Washington County,county,12133
388,Appling County,county,13001
389,Atkinson County,county,13003
390,Bacon County,county,13005
391,Baker County,county,13007
392,Baldwin County,county,13009
393,Banks County,county,13011
394,Barrow County,county,13013
395,Bartow County,county,13015
396,Ben Hill County,county,13017
397,Berrien County,county,13019
398,Bibb County,county,13021
399,Bleckley County,county,13023
400,Brantley County,county,13025
401,Brooks County,county,13027
402,Bryan County,county,13029
403,Bulloch County,county,13031
404,Burke County,county,13033
405,Butts County,county,13035
406,Calhoun County,county,13037
407,Camden County,county,13039
408,Candler County,county,13043
409,Carroll County,county,13045
410,Catoosa County,county,13047
411,Charlton County,county,13049
412,Chatham County,county,13051
413,Chattahoochee County,county,13053
414,Chattooga County,county,13055
415,Cherokee County,county,13057
416,Clarke County,county,13059
417,Clay County,county,13061
418,Clayton County,county,13063
419,Clinch County,county,13065
420,Cobb County,county,13067
421,Coffee County,county,13069
422,Colquitt County,county,13071
423,Columbia County,county,13073
424,Cook County,county,13075
425,Coweta County,county,13077
426,Crawford County,county,13079
427,Crisp County,county,13081
428,Dade County,county,13083
429,Dawson County,county,13085
430,Decatur County,county,13087
431,DeKalb County,county,13089
432,Dodge County,county,13091
433,Dooly County,county,13093
434,Dougherty County,county,13095
435,Douglas County,county,13097
436,Early County,county,13099
437,Echols County,county,13101
438,Effingham County,county,13103
439,Elbert County,county,13105
440,Emanuel County,county,13107
441,Evans County,county,13109
442,Fannin County,county,13111
443,Fayette County,county,13113
444,Floyd County,county,13115
445,Forsyth County,county,13117
446,Franklin County,county,13119
447,Fulton County,county,13121
448,Gilmer County,county,13123
449,Glascock County,county,13125
450,Glynn County,county,13127
451,Gordon County,county,13129
452,Grady County,county,13131
453,Greene County,county,13133
454,Gwinnett County,county,13135
455,Habersham County,county,13137
456,Hall County,county,13139
457,Hancock County,county,13141
458,Haralson County,county,13143
459,Harris County,county,13145
460,Hart County,county,13147
461,Heard County,county,13149
462,Henry County,county,13151
463,Houston County,county,13153
464,Irwin County,county,13155
465,Jackson County,county,13157
466,Jasper County,county,13159
467,Jeff Davis County,county,13161
468,Jefferson County,county,13163
469,Jenkins County,county,13165
470,Johnson County,county,13167
471,Jones County,county,13169
472,Lamar County,county,13171
473,Lanier County,county,13173
474,Laurens County,county,13175
475,Lee County,county,13177
476,Liberty County,county,13179
477,Lincoln County,county,13181
478,Long County,county,13183
479,Lowndes County,county,13185
480,Lumpkin County,county,13187
