census_id,occ_type,occ_salary,geography
10180,occ_110000,77470,Metro
10180,occ_130000,48760,Metro
10180,occ_150000,44860,Metro
10180,occ_170000,58260,Metro
10180,occ_190000,52380,Metro
10180,occ_210000,37290,Metro
10180,occ_230000,43470,Metro
10180,occ_250000,42530,Metro
10180,occ_270000,32380,Metro
10180,occ_290000,47760,Metro
10180,occ_310000,19280,Metro
10180,occ_330000,34840,Metro
10180,occ_350000,17900,Metro
10180,occ_370000,19140,Metro
10180,occ_390000,18350,Metro
10180,occ_410000,23950,Metro
10180,occ_430000,26370,Metro
10180,occ_450000,24920,Metro
10180,occ_470000,34530,Metro
10180,occ_490000,33730,Metro
10180,occ_510000,28420,Metro
10180,occ_530000,24150,Metro
10420,occ_110000,89430,Metro
10420,occ_130000,56160,Metro
10420,occ_150000,68820,Metro
10420,occ_170000,66520,Metro
10420,occ_190000,55870,Metro
10420,occ_210000,43070,Metro
10420,occ_230000,50190,Metro
10420,occ_250000,54210,Metro
10420,occ_270000,41520,Metro
10420,occ_290000,58880,Metro
10420,occ_310000,23400,Metro
10420,occ_330000,40760,Metro
10420,occ_350000,18720,Metro
10420,occ_370000,22450,Metro
10420,occ_390000,19300,Metro
10420,occ_410000,24300,Metro
10420,occ_430000,30880,Metro
10420,occ_450000,26590,Metro
10420,occ_470000,43470,Metro
10420,occ_490000,37550,Metro
10420,occ_510000,32160,Metro
10420,occ_530000,27240,Metro
10500,occ_110000,76930,Metro
10500,occ_130000,58430,Metro
10500,occ_150000,61660,Metro
10500,occ_170000,65380,Metro
10500,occ_190000,54150,Metro
10500,occ_210000,35000,Metro
10500,occ_230000,80140,Metro
10500,occ_250000,43140,Metro
10500,occ_270000,28420,Metro
10500,occ_290000,57420,Metro
10500,occ_310000,19330,Metro
10500,occ_330000,28470,Metro
10500,occ_350000,17950,Metro
10500,occ_370000,18820,Metro
10500,occ_390000,18800,Metro
10500,occ_410000,20900,Metro
10500,occ_430000,26760,Metro
10500,occ_450000,18900,Metro
10500,occ_470000,30300,Metro
10500,occ_490000,39100,Metro
10500,occ_510000,29840,Metro
10500,occ_530000,24440,Metro
10580,occ_110000,94320,Metro
10580,occ_130000,61960,Metro
10580,occ_150000,71050,Metro
10580,occ_170000,74610,Metro
10580,occ_190000,57360,Metro
10580,occ_210000,44650,Metro
10580,occ_230000,84120,Metro
10580,occ_250000,46710,Metro
10580,occ_270000,45790,Metro
10580,occ_290000,57470,Metro
10580,occ_310000,26870,Metro
10580,occ_330000,46330,Metro
10580,occ_350000,19290,Metro
10580,occ_370000,23900,Metro
10580,occ_390000,23100,Metro
10580,occ_410000,24750,Metro
10580,occ_430000,34650,Metro
10580,occ_450000,31290,Metro
10580,occ_470000,45840,Metro
